ID;Title;AgentTypeID;Address;INN;KPP;DirectorName;Phone;Email;Logo;Priority;;;;;;;;;;
;СервисПив;1;840377, Рязанская область, город Щёлково, пл. Бухарестская, 42;6861024038;218034630;Никита Александрович Королёв;79223251293;znosov@vasilev.ru;нет;329 в приоритете на поставку;;znosov@vasilev.ru;znosov@vasilev.ru;;МФО;1;МФО;1;;1
;СантехСеверЛенМашина;2;606990, Новосибирская область, город Павловский Посад, въезд Домодедовская, 38;3506691089;830713603;Павел Максимович Рожков;8122147394;pgorbacev@vasilev.net;\agents\agent_99.png;201;;pgorbacev@vasilev.net;pgorbacev@vasilev.net;;ООО;2;ООО;2;;2
;ЭлектроРемОрионЛизинг;3;594365, Ярославская область, город Павловский Посад, бульвар Космонавтов, 64;1340072597;500478249;Тарасова Дан Львович;4955139316;anfisa.fedotova@tvetkov.ru;\agents\agent_93.png;Приоритет = 198;;anfisa.fedotova@tvetkov.ru;anfisa.fedotova@tvetkov.ru;;ЗАО;3;ЗАО;3;;3
;РыбАлмазГаражСнаб;3;278792, Воронежская область, город Люберцы, ул. Космонавтов, 07;2135119617;916748563;Власов Ян Львович;35222465474;diana.gorbunov@gromov.ru;\agents\agent_29.png;50;;diana.gorbunov@gromov.ru;diana.gorbunov@gromov.ru;;ЗАО;3;МКК;4;;3
;CибБашкирТекстиль;4;429540, Мурманская область, город Воскресенск, пл. Славы, 36;7392007090;576103661;Григорий Владимирович Елисеева;35222922868;vzimina@zdanova.com;\agents\agent_94.png;218 в приоритете на поставку;;vzimina@zdanova.com;vzimina@zdanova.com;;МКК;4;ОАО;5;;4
;ЮпитерТяжОрионЭкспедиция;5;960726, Томская область, город Орехово-Зуево, въезд 1905 года, 51;6843174002;935556458;Валерий Евгеньевич Виноградов;8128195158;gblokin@orlov.net;\agents\agent_69.png;446 в приоритете на поставку;;gblokin@orlov.net;gblokin@orlov.net;;ОАО;5;ПАО;6;;5
;КазаньТекстиль;5;231891, Челябинская область, город Шатура, бульвар Ладыгина, 40;4584384019;149680499;Александров Бронислав Максимович;79229363767;osimonova@andreeva.com;\agents\agent_72.png;Приоритет = 156;;osimonova@andreeva.com;osimonova@andreeva.com;;ОАО;5;;;;5
;МясИнфоМясТраст;5;873144, Курская область, город Талдом, проезд Домодедовская, 46;6387079446;113956342;Лихачёваа Оксана Романовна;8123755929;dgulyev@krasilnikov.ru;\agents\agent_43.png;16;;dgulyev@krasilnikov.ru;dgulyev@krasilnikov.ru;;ОАО;5;;;;5
;АвтоТомскЦементЦентр;4;282009, Вологодская область, город Красногорск, пл. Домодедовская, 14;8317739640;940326934;Леонид Иванович Афанасьева;35222249818;kabanov.valentina@subbotina.ru;\agents\agent_40.png;71 в приоритете на поставку;;kabanov.valentina@subbotina.ru;kabanov.valentina@subbotina.ru;;МКК;4;;;;4
;Радио;6;798718, Ленинградская область, город Пушкино, бульвар Балканская, 37;9077613654;657690787;Эмма Андреевна Колесникова;35222844492;rtretykova@kozlov.ru;\agents\agent_68.png;221;;rtretykova@kozlov.ru;rtretykova@kozlov.ru;;ПАО;6;;;;6
